;ImageId;part;iou;dice
320;0408af083.jpg;5;0.6787564754486084;0.8086419701576233
321;0408af083.jpg;6;1.0;1.0
322;0408af083.jpg;7;1.0;1.0
323;0408af083.jpg;8;1.0;1.0
324;04143b1e1.jpg;0;3.3333321880490985e-07;3.3333321880490985e-07
325;04143b1e1.jpg;1;1.0;1.0
326;04143b1e1.jpg;2;0.3227272629737854;0.4879724979400635
327;04143b1e1.jpg;3;2.499999425253918e-07;2.499999425253918e-07
328;04143b1e1.jpg;4;1.0;1.0
329;04143b1e1.jpg;5;1.0;1.0
330;04143b1e1.jpg;6;1.0;1.0
331;04143b1e1.jpg;7;1.1494252660781967e-08;1.1494252660781967e-08
332;04143b1e1.jpg;8;1.0;1.0
333;041f1c8e3.jpg;0;1.0;1.0
334;041f1c8e3.jpg;1;1.0;1.0
335;041f1c8e3.jpg;2;1.0;1.0
336;041f1c8e3.jpg;3;1.0;1.0
337;041f1c8e3.jpg;4;1.0;1.0
338;041f1c8e3.jpg;5;1.0;1.0
339;041f1c8e3.jpg;6;0.546012282371521;0.7063491940498352
340;041f1c8e3.jpg;7;1.0;1.0
341;041f1c8e3.jpg;8;1.0;1.0
342;04702fb27.jpg;0;1.0;1.0
343;04702fb27.jpg;1;1.0;1.0
344;04702fb27.jpg;2;1.0;1.0
345;04702fb27.jpg;3;1.0;1.0
346;04702fb27.jpg;4;1.0;1.0
347;04702fb27.jpg;5;1.0;1.0
348;04702fb27.jpg;6;1.0;1.0
349;04702fb27.jpg;7;1.0;1.0
350;04702fb27.jpg;8;0.8936651349067688;0.9438470602035522
351;049a04990.jpg;0;1.0;1.0
352;049a04990.jpg;1;1.0;1.0
353;049a04990.jpg;2;1.0;1.0
